Category,Control,Mod
Lambda,Lambda functions should be configured with a dead-letter queue,Compliance
Lambda,Ensure encryption in transit is enabled for Lambda environment variables,Compliance
Lambda,Lambda functions should be in a VPC,Compliance
Lambda,Lambda functions should operate in more than one availability zone,Compliance
Lambda,Lambda functions should restrict public access,Compliance
Lambda,Lambda functions should restrict public URL,Compliance
Lambda,Lambda functions tracing should be enabled,Compliance
Lambda,Lambda functions should use latest runtimes,Compliance
Lambda,Lambda functions variable should not have any sensitive data,Compliance
,,
Lightsail,Disable IPv6 Networking if not in use within your organization,Compliance
Lightsail,Ensure RDP is restricted to only IP address that should have this access,Compliance
Lightsail,Disable SSH and RDP ports for Lightsail instances when not needed,Compliance
Lightsail,Ensure SSH is restricted to only IP address that should have this access,Compliance
,,
MQ,MQ brokers should restrict public access,Compliance
,,
MSK,MSK clusters should be encrypted in transit among broker nodes,Compliance
,,
Neptune,Neptune DB clusters should publish audit logs to CloudWatch Logs,Compliance
Neptune,Neptune DB clusters should have automated backups enabled,Compliance
Neptune,Neptune DB clusters should be configured to copy tags to snapshots,Compliance
Neptune,Neptune DB clusters should have deletion protection enabled,Compliance
Neptune,Neptune DB clusters should be encrypted at rest,Compliance
Neptune,Neptune DB clusters should have IAM database authentication enabled,Compliance
Neptune,Neptune DB clusters should not use public_subnet,Compliance
Neptune,Neptune DB cluster snapshots should be encrypted at rest,Compliance
Neptune,Neptune DB cluster snapshots should not be public,Compliance
,,
Network Firewall,Network Firewall firewalls should have deletion protection enabled,Compliance
Network Firewall,Networkfirewall firewall should be in a VPC,Compliance
Network Firewall,Network Firewall logging should be enabled,Compliance
Network Firewall,The default stateless action for Network Firewall policies should be drop or forward for fragmented packets,Compliance
Network Firewall,The default stateless action for Network Firewall policies should be drop or forward for full packets,Compliance
Network Firewall,Network Firewall policies should have at least one rule group associated,Compliance
Network Firewall,Stateless network firewall rule group should not be empty,Compliance
,,
OpenSearch,OpenSearch domains should have audit logging enabled.,Compliance
OpenSearch,OpenSearch domains cognito authentication should be enabled for kibana,Compliance
OpenSearch,OpenSearch domains should have at least three data nodes,Compliance
OpenSearch,OpenSearch domains should have encryption at rest enabled,Compliance
OpenSearch,OpenSearch domains should have fine-grained access control enabled,Compliance
OpenSearch,OpenSearch domains should use HTTPS,Compliance
OpenSearch,OpenSearch domains should be in a VPC,Compliance
OpenSearch,OpenSearch domains internal user database should be disabled,Compliance
OpenSearch,OpenSearch domains logs to AWS CloudWatch Logs,Compliance
OpenSearch,OpenSearch domains node-to-node encryption should be enabled,Compliance
OpenSearch,OpenSearch domains should be updated to the latest service software version,Compliance
,,
Organization,Ensure Tag Policies are enabled,Compliance
Organization,Private Certificate Authority,Compliance
Organization,AWS Private CA root certificate authority should be disabled,Compliance
,,
RDS,RDS Aurora clusters should have backtracking enabled,Compliance
RDS,Aurora MySQL DB clusters should publish audit logs to CloudWatch Logs,Compliance
RDS,RDS Aurora PostgreSQL clusters should not be exposed to local file read vulnerability,Compliance
RDS,RDS Aurora clusters should be protected by backup plan,Compliance
RDS,RDS DB clusters should have automatic minor version upgrade enabled,Compliance
RDS,RDS DB clusters should be configured to copy tags to snapshots,Compliance
RDS,RDS clusters should have deletion protection enabled,Compliance
RDS,RDS DB clusters should be encrypted with CMK,Compliance
RDS,RDS DB clusters should be encrypted at rest,Compliance
RDS,An RDS event notifications subscription should be configured for critical cluster events,Compliance
RDS,IAM authentication should be configured for RDS clusters,Compliance
RDS,RDS DB clusters should be configured for multiple Availability Zones,Compliance
RDS,RDS database clusters should use a custom administrator username,Compliance
RDS,RDS DB instance and cluster enhanced monitoring should be enabled,Compliance
RDS,RDS databases and clusters should not use a database engine default port,Compliance
RDS,RDS DB instance automatic minor version upgrade should be enabled,Compliance
RDS,RDS DB instance backup should be enabled,Compliance
RDS,RDS DB instances backup retention period should be greater than or equal to 7,Compliance
RDS,RDS DB instances CA certificates should not expire within next 7 days,Compliance
RDS,RDS DB instances should be integrated with CloudWatch logs,Compliance
RDS,RDS DB instances connections should be encrypted,Compliance
RDS,RDS DB instances should be configured to copy tags to snapshots,Compliance
RDS,RDS DB instances should have deletion protection enabled,Compliance
RDS,RDS DB instance encryption at rest should be enabled,Compliance
RDS,An RDS event notifications subscription should be configured for critical database instance events,Compliance
RDS,RDS DB instances should have iam authentication enabled,Compliance
RDS,RDS DB instances should be in a backup plan,Compliance
RDS,RDS instances should be deployed in a VPC,Compliance
RDS,Database logging should be enabled,Compliance
RDS,RDS DB instance multiple az should be enabled,Compliance
RDS,RDS database instances should use a custom administrator username,Compliance
RDS,RDS DB instances should not use public subnet,Compliance
RDS,RDS PostgreSQL DB instances should not be exposed to local file read vulnerability,Compliance
RDS,RDS DB instances should prohibit public access,Compliance
RDS,RDS DB instance should be protected by backup plan,Compliance
RDS,An RDS event notifications subscription should be configured for critical database parameter group events,Compliance
RDS,An RDS event notifications subscription should be configured for critical database security group events,Compliance
RDS,RDS DB snapshots should be encrypted at rest,Compliance
RDS,RDS snapshots should prohibit public access,
,,Compliance
Redshift,AWS Redshift audit logging should be enabled,Compliance
Redshift,AWS Redshift clusters should have automatic snapshots enabled,Compliance
Redshift,AWS Redshift should have automatic upgrades to major versions enabled,Compliance
Redshift,Redshift clusters should be encrypted with CMK,Compliance
Redshift,Redshift cluster encryption in transit should be enabled,Compliance
Redshift,Redshift cluster audit logging and encryption should be enabled,Compliance
Redshift,AWS Redshift enhanced VPC routing should be enabled,Compliance
Redshift,AWS Redshift clusters should be encrypted with KMS,Compliance
Redshift,AWS Redshift should have required maintenance settings,Compliance
Redshift,AWS Redshift clusters should not use the default Admin username,Compliance
Redshift,Redshift clusters should not use the default database name,Compliance
Redshift,Redshift clusters should prohibit public access,
,,Compliance
Route 53,Route 53 domains auto renew should be enabled,Compliance
Route 53,Route 53 domains should not expire within next 30 days,Compliance
Route 53,Route 53 domains should not expire within next 7 days,Compliance
Route 53,Route 53 domains should not be expired,Compliance
Route 53,Route53 domains privacy protection should be enabled,Compliance
Route 53,Route 53 domains should have transfer lock enabled,Compliance
Route 53,Route 53 zones should have query logging enabled,
,,Compliance
SageMaker,SageMaker endpoint configuration encryption should be enabled,Compliance
SageMaker,SageMaker models should be in a VPC,Compliance
SageMaker,SageMaker models should have network isolation enabled,Compliance
SageMaker,SageMaker notebook instances should not have direct internet access,Compliance
SageMaker,SageMaker notebook instances should be encrypted using CMK,Compliance
SageMaker,SageMaker notebook instance encryption should be enabled,Compliance
SageMaker,SageMaker notebook instances should be in a VPC,Compliance
SageMaker,SageMaker notebook instances root access should be disabled,Compliance
SageMaker,SageMaker training jobs should be in VPC,Compliance
SageMaker,SageMaker training jobs should be enabled with inter-container traffic encryption,Compliance
SageMaker,SageMaker training jobs should have network isolation enabled,Compliance
SageMaker,SageMaker training jobs volumes and outputs should have KMS encryption enabled,Compliance
,,
Secrets Manager,Secrets Manager secrets should have automatic rotation enabled,Compliance
Secrets Manager,Secrets Manager secrets should be rotated within a specified number of days,Compliance
Secrets Manager,Secrets Manager secrets should be encrypted using CMK,Compliance
Secrets Manager,Secrets Manager secrets should be rotated within specific number of days,Compliance
Secrets Manager,Remove unused Secrets Manager secrets,Compliance
Secrets Manager,Secrets Manager secrets should be rotated as per the rotation schedule,Compliance
Secrets Manager,Secrets Manager secrets that have not been used in 90 days should be removed,Compliance
,,
Security Hub,AWS Security Hub should be enabled for an AWS Account,Compliance
,,
Step Functions,Step Functions state machines should have logging turned on,Compliance
,,
SNS,SNS topics should be encrypted at rest,Compliance
SNS,Logging of delivery status should be enabled for notification messages sent to a topic,Compliance
SNS,SNS topic policies should prohibit cross account access,Compliance
SNS,SNS topic policies should prohibit public access,Compliance
SNS,SNS topic policies should prohibit publishing access,Compliance
SNS,SNS topic policies should prohibit subscription public access,Compliance
,,
SQS,SQS queues should be configured with a dead-letter queue.,Compliance
SQS,AWS SQS queues should be encrypted at rest,Compliance
SQS,SQS queues should be encrypted with KMS CMK,Compliance
SQS,SQS queue policies should prohibit public access,Compliance
,,
SSM,EC2 instances should be managed by AWS Systems Manager,Compliance
SSM,SSM documents should not be public,Compliance
SSM,SSM managed instance associations should be compliant,Compliance
SSM,SSM managed instance patching should be compliant,Compliance
SSM,SSM parameters encryption should be enabled,Compliance
,,
WAF,WAF regional rule should have at least one condition,Compliance
WAF,WAF regional rule group should have at least one rule attached,Compliance
WAF,WAF regional web ACL should have at least one rule or rule group attached,Compliance
WAF,WAF global rule should have at least one condition,Compliance
WAF,WAF global rule group should have at least one rule,Compliance
WAF,WAF web ACL logging should be enabled,Compliance
WAF,WAF web ACL should be associated with an Application Load Balancer, API Gateway stage, or CloudFront distributions,Compliance
WAF,WAF global web ACL should have at least one rule or rule group,Compliance
,,
WAFv2,AWS WAF rules should have CloudWatch metrics enabled,Compliance
WAFv2,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs),Compliance
WAFv2,A WAFV2 web ACL should have at least one rule or rule group,Compliance
,,Compliance
WorkSpaces,WorkSpaces root and user volume encryption should be enabled,
,,Compliance
Category,Control,Mod
Operational Excellence,API Gateway stage logging should be enabled,AWS Well-Architected Framework
Operational Excellence,Auto Scaling groups with a load balancer should use health checks,AWS Well-Architected Framework
Operational Excellence,CloudFront distributions access logs should be enabled,AWS Well-Architected Framework
Operational Excellence,CodeBuild projects should have logging enabled,AWS Well-Architected Framework
Operational Excellence,ECS task definitions should have logging enabled,AWS Well-Architected Framework
Operational Excellence,Elastic Beanstalk enhanced health reporting should be enabled,AWS Well-Architected Framework
Operational Excellence,ELB application and classic load balancer logging should be enabled,AWS Well-Architected Framework
Operational Excellence,RDS DB instances should be integrated with CloudWatch logs,AWS Well-Architected Framework
Operational Excellence,At least one enabled trail should be present in a region,AWS Well-Architected Framework
Operational Excellence,CloudTrail trails should be integrated with CloudWatch logs,AWS Well-Architected Framework
Operational Excellence,CloudWatch alarm should have an action configured,AWS Well-Architected Framework
Operational Excellence,EC2 instance detailed monitoring should be enabled,AWS Well-Architected Framework
Operational Excellence,VPC flow logs should be enabled,AWS Well-Architected Framework
Operational Excellence,AWS Config should be enabled,AWS Well-Architected Framework
Operational Excellence,SSM managed instance patching should be compliant,AWS Well-Architected Framework
,,
Reliability,Lambda functions concurrent execution limit configured,AWS Well-Architected Framework
Reliability,CloudFront distributions should have origin failover configured,AWS Well-Architected Framework
Reliability,CloudFront distributions should have AWS WAF enabled,AWS Well-Architected Framework
Reliability,ELB application, network, and gateway load balancers should span multiple availability zones,AWS Well-Architected Framework
Reliability,ELB classic load balancers should have cross-zone load balancing enabled,AWS Well-Architected Framework
Reliability,ELB classic load balancers should span multiple availability zones,AWS Well-Architected Framework
Reliability,Lambda functions should operate in more than one availability zone,AWS Well-Architected Framework
Reliability,RDS DB clusters should be configured for multiple Availability Zones,AWS Well-Architected Framework
Reliability,RDS DB instance multiple az should be enabled,AWS Well-Architected Framework
Reliability,S3 bucket cross-region replication should be enabled,AWS Well-Architected Framework
Reliability,EC2 instances should be in a VPC,AWS Well-Architected Framework
Reliability,ECS cluster instances should be in a VPC,AWS Well-Architected Framework
Reliability,ES domains should be in a VPC,AWS Well-Architected Framework
Reliability,Lambda functions should be in a VPC,AWS Well-Architected Framework
Reliability,AWS Redshift enhanced VPC routing should be enabled,AWS Well-Architected Framework
Reliability,Both VPN tunnels provided by AWS Site-to-Site VPN should be in UP status,AWS Well-Architected Framework
Reliability,EC2 instance detailed monitoring should be enabled,AWS Well-Architected Framework
Reliability,API Gateway stage logging should be enabled,AWS Well-Architected Framework
Reliability,ACM certificates should have transparency logging enabled,AWS Well-Architected Framework
Reliability,CodeBuild projects should have logging enabled,AWS Well-Architected Framework
Reliability,ECS task definitions should have logging enabled,AWS Well-Architected Framework
Reliability,ELB application and classic load balancer logging should be enabled,AWS Well-Architected Framework
Reliability,Lambda functions CloudTrail logging should be enabled,AWS Well-Architected Framework
Reliability,OpenSearch domains should have audit logging enabled.,AWS Well-Architected Framework
Reliability,Database logging should be enabled,AWS Well-Architected Framework
Reliability,Route 53 zones should have query logging enabled,AWS Well-Architected Framework
Reliability,S3 bucket logging should be enabled,AWS Well-Architected Framework
Reliability,S3 buckets object logging should be enabled,AWS Well-Architected Framework
Reliability,WAF web ACL logging should be enabled,AWS Well-Architected Framework
Reliability,ECS clusters should have container insights enabled,AWS Well-Architected Framework
Reliability,Elastic Beanstalk enhanced health reporting should be enabled,AWS Well-Architected Framework
Reliability,EC2 auto scaling groups should cover multiple availability zones,AWS Well-Architected Framework
Reliability,DynamoDB table auto scaling should be enabled,AWS Well-Architected Framework
Reliability,RDS DB instance automatic minor version upgrade should be enabled,AWS Well-Architected Framework
Reliability,Backup recovery points should be encrypted,AWS Well-Architected Framework
Reliability,DynamoDB table should have encryption enabled,AWS Well-Architected Framework
Reliability,EBS default encryption should be enabled,AWS Well-Architected Framework
Reliability,EBS volume encryption at rest should be enabled,AWS Well-Architected Framework
Reliability,RDS DB instance encryption at rest should be enabled,AWS Well-Architected Framework
Reliability,RDS DB snapshots should be encrypted at rest,AWS Well-Architected Framework
Reliability,S3 bucket default encryption should be enabled,AWS Well-Architected Framework
Reliability,Backup recovery points manual deletion should be disabled,AWS Well-Architected Framework
Reliability,Backup recovery points should not expire before retention period,AWS Well-Architected Framework
Reliability,DynamoDB tables should be in a backup plan,AWS Well-Architected Framework
Reliability,DynamoDB table point-in-time recovery should be enabled,AWS Well-Architected Framework
Reliability,DynamoDB table should be protected by backup plan,AWS Well-Architected Framework
Reliability,EC2 instances should be protected by backup plan,AWS Well-Architected Framework
Reliability,ElastiCache Redis cluster automatic backup should be enabled with retention period of 15 days or greater,AWS Well-Architected Framework
Reliability,FSx file system should be protected by backup plan,AWS Well-Architected Framework
Reliability,RDS Aurora clusters should have backtracking enabled,AWS Well-Architected Framework
Reliability,RDS Aurora clusters should be protected by backup plan,AWS Well-Architected Framework
Reliability,RDS DB instance backup should be enabled,AWS Well-Architected Framework
,,
Security,AWS account should be part of AWS Organizations,AWS Well-Architected Framework
Security,BP02 Secure account root user and properties,AWS Well-Architected Framework
Security,IAM root user hardware MFA should be enabled,AWS Well-Architected Framework
Security,IAM root user MFA should be enabled,AWS Well-Architected Framework
Security,IAM root user should not have access keys,AWS Well-Architected Framework
Security,EC2 instances should be managed by AWS Systems Manager,AWS Well-Architected Framework
Security,ECR repositories should have image scan on push enabled,AWS Well-Architected Framework
Security,CodeBuild project plaintext environment variables should not contain sensitive AWS values,AWS Well-Architected Framework
Security,EC2 instances should use IMDSv2,AWS Well-Architected Framework
Security,EC2 instances should have IAM profile attached,AWS Well-Architected Framework
Security,ECS task definition container definitions should be checked for host mode,AWS Well-Architected Framework
Security,CloudWatch should not allow cross-account sharing,AWS Well-Architected Framework
Security,ECS containers should be limited to read-only access to root filesystems,AWS Well-Architected Framework
Security,EMR cluster Kerberos should be enabled,AWS Well-Architected Framework
Security,EC2 instances should have IAM profile attached,AWS Well-Architected Framework
Security,IAM groups should have at least one user,AWS Well-Architected Framework
Security,Ensure managed IAM policies should not allow blocked actions on KMS keys,AWS Well-Architected Framework
Security,IAM policy should not have statements with admin access,AWS Well-Architected Framework
Security,AWS account should be part of AWS Organizations,AWS Well-Architected Framework
Security,IAM user credentials that have not been used in 90 days should be disabled,AWS Well-Architected Framework
Security,IAM user credentials that have not been used in 90 days should be disabled,AWS Well-Architected Framework
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework
Security,Log group retention period should be at least 365 days,AWS Well-Architected Framework
Security,CodeBuild projects should not be unused for 90 days or greater,AWS Well-Architected Framework
Security,VPC EIPs should be associated with an EC2 instance or ENI,AWS Well-Architected Framework
Security,ECR repositories should have lifecycle policies configured,AWS Well-Architected Framework
Security,Ensure IAM password policy expires passwords within 90 days or less,AWS Well-Architected Framework
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework
Security,EBS snapshots should not be publicly restorable,AWS Well-Architected Framework
Security,EC2 instances should not have a public IP address,AWS Well-Architected Framework
Security,ES domains should be in a VPC,AWS Well-Architected Framework
Security,OpenSearch domains should be in a VPC,AWS Well-Architected Framework
Security,EMR cluster master nodes should not have public IP addresses,AWS Well-Architected Framework
Security,EMR public access should be blocked at account level,AWS Well-Architected Framework
Security,EC2 instances should be in a VPC,AWS Well-Architected Framework
Security,Lambda functions should restrict public access,AWS Well-Architected Framework
Security,Lambda functions should be in a VPC,AWS Well-Architected Framework
Security,RDS DB instances should prohibit public access,AWS Well-Architected Framework
Security,RDS snapshots should prohibit public access,AWS Well-Architected Framework
Security,KMS CMK policies should prohibit public access,AWS Well-Architected Framework
Security,Redshift clusters should prohibit public access,AWS Well-Architected Framework
Security,S3 bucket policy should prohibit public access,AWS Well-Architected Framework
Security,S3 buckets should prohibit public write access,AWS Well-Architected Framework
Security,SageMaker notebook instances should not have direct internet access,AWS Well-Architected Framework
Security,Secrets Manager secrets that have not been used in 90 days should be removed,AWS Well-Architected Framework
Security,Auto Scaling launch config public IP should be disabled,AWS Well-Architected Framework
Security,Ensure the S3 bucket CloudTrail logs to is not publicly accessible,AWS Well-Architected Framework
Security,ECR repositories should prohibit public access,AWS Well-Architected Framework
Security,EKS clusters endpoint should restrict public access,AWS Well-Architected Framework
Security,ELB load balancers should prohibit public access,AWS Well-Architected Framework
Security,S3 public access should be blocked at account level,AWS Well-Architected Framework
Security,SNS topic policies should prohibit public access,AWS Well-Architected Framework
Security,SQS queue policies should prohibit public access,AWS Well-Architected Framework
Security,SSM documents should not be public,AWS Well-Architected Framework
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework
Security,ES domains should be in a VPC,AWS Well-Architected Framework
Security,OpenSearch domains should be in a VPC,AWS Well-Architected Framework
Security,EC2 instances should be in a VPC,AWS Well-Architected Framework
Security,Lambda functions should be in a VPC,AWS Well-Architected Framework
Security,SageMaker notebook instances should not have direct internet access,AWS Well-Architected Framework
Security,Secrets Manager secrets that have not been used in 90 days should be removed,AWS Well-Architected Framework
Security,CodeBuild projects should not use an user controlled buildspec,AWS Well-Architected Framework
Security,API Gateway stage logging should be enabled,AWS Well-Architected Framework
Security,OpenSearch domains should have audit logging enabled.,AWS Well-Architected Framework
Security,CloudTrail trails should be integrated with CloudWatch logs,AWS Well-Architected Framework
Security,All S3 buckets should log S3 data events in CloudTrail,AWS Well-Architected Framework
Security,ACM certificates should have transparency logging enabled,AWS Well-Architected Framework
Security,Lambda functions CloudTrail logging should be enabled,AWS Well-Architected Framework
Security,CloudFront distributions access logs should be enabled,AWS Well-Architected Framework
Security,3.10 Ensure that Object-level logging for write events is enabled for S3 bucket,AWS Well-Architected Framework
Security,3.11 Ensure that Object-level logging for read events is enabled for S3 bucket,AWS Well-Architected Framework
Security,EKS clusters should have control plane audit logging enabled,AWS Well-Architected Framework
Security,ELB application and classic load balancer logging should be enabled,AWS Well-Architected Framework
Security,RDS DB instances should be integrated with CloudWatch logs,AWS Well-Architected Framework
Security,AWS Redshift audit logging should be enabled,AWS Well-Architected Framework
Security,Route 53 zones should have query logging enabled,AWS Well-Architected Framework
Security,S3 buckets object logging should be enabled,AWS Well-Architected Framework
Security,VPC flow logs should be enabled,AWS Well-Architected Framework
Security,Elasticsearch domain should send logs to CloudWatch,AWS Well-Architected Framework
Security,At least one multi-region AWS CloudTrail should be present in an account,AWS Well-Architected Framework
Security,Database logging should be enabled,AWS Well-Architected Framework
Security,VPC flow logs should be enabled,AWS Well-Architected Framework
Security,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs),AWS Well-Architected Framework
Security,At least one trail should be enabled with security best practices,AWS Well-Architected Framework
Security,AWS Redshift audit logging should be enabled,AWS Well-Architected Framework
Security,AWS Config should be enabled,AWS Well-Architected Framework
Security,BP03 Automate response to events,AWS Well-Architected Framework
Security,Elasticsearch domain should send logs to CloudWatch,AWS Well-Architected Framework
Security,ELB application and classic load balancer logging should be enabled,AWS Well-Architected Framework
Security,At least one multi-region AWS CloudTrail should be present in an account,AWS Well-Architected Framework
Security,Database logging should be enabled,AWS Well-Architected Framework
Security,VPC flow logs should be enabled,AWS Well-Architected Framework
Security,Logging should be enabled on AWS WAFv2 regional and global web access control list (ACLs),AWS Well-Architected Framework
Security,At least one trail should be enabled with security best practices,AWS Well-Architected Framework
Security,AWS Redshift audit logging should be enabled,AWS Well-Architected Framework
Security,ES domains should be in a VPC,AWS Well-Architected Framework
Security,OpenSearch domains should be in a VPC,AWS Well-Architected Framework
Security,EC2 instances should be in a VPC,AWS Well-Architected Framework
Security,Lambda functions should be in a VPC,AWS Well-Architected Framework
Security,AWS Redshift enhanced VPC routing should be enabled,AWS Well-Architected Framework
Security,ELB application load balancers should have Web Application Firewall (WAF) enabled,AWS Well-Architected Framework
Security,API Gateway stage should be associated with waf,AWS Well-Architected Framework
Security,CloudFront distributions should have AWS WAF enabled,AWS Well-Architected Framework
Security,EKS clusters endpoint should restrict public access,AWS Well-Architected Framework
Security,SageMaker models should have network isolation enabled,AWS Well-Architected Framework
Security,SageMaker models should be in a VPC,AWS Well-Architected Framework
Security,SageMaker notebook instances should be in a VPC,AWS Well-Architected Framework
Security,SageMaker training jobs should have network isolation enabled,AWS Well-Architected Framework
Security,SageMaker training jobs should be in VPC,AWS Well-Architected Framework
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework
Security,EBS snapshots should not be publicly restorable,AWS Well-Architected Framework
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework
Security,SageMaker notebook instances should not have direct internet access,AWS Well-Architected Framework
Security,VPC subnet auto assign public IP should be disabled,AWS Well-Architected Framework
Security,VPC default security group should not allow inbound and outbound traffic,AWS Well-Architected Framework
Security,API Gateway stages should have authorizers configured,AWS Well-Architected Framework
Security,S3 buckets access control lists (ACLs) should not be used to manage user access to buckets,AWS Well-Architected Framework
Security,DMS replication instances should not be publicly accessible,AWS Well-Architected Framework
Security,Auto Scaling launch config public IP should be disabled,AWS Well-Architected Framework
Security,Network ACLs should not allow ingress from 0.0.0.0/0 to port 22 or port 3389,AWS Well-Architected Framework
Security,VPC Security groups should only allow unrestricted incoming traffic for authorized ports,AWS Well-Architected Framework
Security,5.2 Ensure no security groups allow ingress from 0.0.0.0/0 to remote server administration ports,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress TCP and UDP access from 0.0.0.0/0,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress access on ports 20, 21, 22, 3306, 3389, 4333 from 0.0.0.0/0,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress Kafka port access from 0.0.0.0/0,AWS Well-Architected Framework
Security,Security groups should not allow unrestricted access to ports with high risk,AWS Well-Architected Framework
Security,VPC security groups should restrict ingress redis access from 0.0.0.0/0,AWS Well-Architected Framework
Security,WAF global web ACL should have at least one rule or rule group,AWS Well-Architected Framework
Security,WAF global rule group should have at least one rule,AWS Well-Architected Framework
Security,VPC network access control lists (network ACLs) should be associated with a subnet.,AWS Well-Architected Framework
Security,VPC default security group should not allow inbound and outbound traffic,AWS Well-Architected Framework
Security,EC2 instances should not be attached to 'launch wizard' security groups,AWS Well-Architected Framework
Security,Route53 domains privacy protection should be enabled,AWS Well-Architected Framework
Security,Route 53 domains should have transfer lock enabled,AWS Well-Architected Framework
Security,GuardDuty should be enabled,AWS Well-Architected Framework
Security,VPC flow logs should be enabled,AWS Well-Architected Framework
Security,API Gateway stages should have authorizers configured,AWS Well-Architected Framework
Security,RDS DB instance automatic minor version upgrade should be enabled,AWS Well-Architected Framework
Security,CloudTrail trail log file validation should be enabled,AWS Well-Architected Framework
Security,At least one trail should be enabled with security best practices,AWS Well-Architected Framework
Security,EC2 instances should use IMDSv2,AWS Well-Architected Framework
Security,Public EC2 instances should have IAM profile attached,AWS Well-Architected Framework
Security,SSM managed instance patching should be compliant,AWS Well-Architected Framework
Security,Lambda functions should be in a VPC,AWS Well-Architected Framework
Security,ECS clusters should have container insights enabled,AWS Well-Architected Framework
Security,ECS fargate services should run on the latest fargate platform version,AWS Well-Architected Framework
Security,AWS Redshift should have required maintenance settings,AWS Well-Architected Framework
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework
Security,EC2 instances should have IAM profile attached,AWS Well-Architected Framework
Security,EC2 instances should be managed by AWS Systems Manager,AWS Well-Architected Framework
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework
Security,EC2 stopped instances should be removed in 30 days,AWS Well-Architected Framework
Security,EC2 instances should have IAM profile attached,AWS Well-Architected Framework
Security,EC2 instances should be managed by AWS Systems Manager,AWS Well-Architected Framework
Security,EC2 instances should not use multiple ENIs,AWS Well-Architected Framework
Security,EC2 stopped instances should be removed in 30 days,AWS Well-Architected Framework
Security,EBS volumes should be attached to EC2 instances,AWS Well-Architected Framework
Security,SSM managed instance associations should be compliant,AWS Well-Architected Framework
Security,SSM managed instance patching should be compliant,AWS Well-Architected Framework
Security,CloudTrail trail log file validation should be enabled,AWS Well-Architected Framework
Security,API Gateway stage cache encryption at rest should be enabled,AWS Well-Architected Framework
Security,Backup recovery points should be encrypted,AWS Well-Architected Framework
Security,CodeBuild project artifact encryption should be enabled,AWS Well-Architected Framework
Security,CodeBuild project S3 logs should be encrypted,AWS Well-Architected Framework
Security,KMS keys should not be pending deletion,AWS Well-Architected Framework
Security,BP02 Enforce encryption at rest,AWS Well-Architected Framework
Security,EFS file system encryption at rest should be enabled,AWS Well-Architected Framework
Security,ES domain encryption at rest should be enabled,AWS Well-Architected Framework
Security,OpenSearch domains should have encryption at rest enabled,AWS Well-Architected Framework
Security,RDS DB instance encryption at rest should be enabled,AWS Well-Architected Framework
Security,RDS DB snapshots should be encrypted at rest,AWS Well-Architected Framework
Security,CloudTrail trail logs should be encrypted with KMS CMK,AWS Well-Architected Framework
Security,DynamoDB table should have encryption enabled,AWS Well-Architected Framework
Security,EBS default encryption should be enabled,AWS Well-Architected Framework
Security,EKS clusters should be configured to have kubernetes secrets encrypted using KMS,AWS Well-Architected Framework
Security,Glue dev endpoints CloudWatch logs encryption should be enabled,AWS Well-Architected Framework
Security,Glue dev endpoints job bookmark encryption should be enabled,AWS Well-Architected Framework
Security,Glue dev endpoints S3 encryption should be enabled,AWS Well-Architected Framework
Security,Glue jobs S3 encryption should be enabled,AWS Well-Architected Framework
Security,Glue jobs bookmarks encryption should be enabled,AWS Well-Architected Framework
Security,Glue jobs CloudWatch logs encryption should be enabled,AWS Well-Architected Framework
Security,SageMaker notebook instances should be encrypted using CMK,AWS Well-Architected Framework
Security,SageMaker training jobs should be enabled with inter-container traffic encryption,AWS Well-Architected Framework
Security,SageMaker training jobs volumes and outputs should have KMS encryption enabled,AWS Well-Architected Framework
Security,AWS Redshift audit logging should be enabled,AWS Well-Architected Framework
Security,AWS Redshift clusters should be encrypted with KMS,AWS Well-Architected Framework
Security,S3 bucket default encryption should be enabled,AWS Well-Architected Framework
Security,SageMaker endpoint configuration encryption should be enabled,AWS Well-Architected Framework
Security,SageMaker notebook instance encryption should be enabled,AWS Well-Architected Framework
Security,SageMaker notebook instances should be encrypted using CMK,AWS Well-Architected Framework
Security,SNS topics should be encrypted at rest,AWS Well-Architected Framework
Security,S3 bucket versioning should be enabled,AWS Well-Architected Framework
Security,AWS account should be part of AWS Organizations,AWS Well-Architected Framework
Security,ACM certificates should not expire within 30 days,AWS Well-Architected Framework
Security,ELB classic load balancers should use SSL certificates,AWS Well-Architected Framework
Security,ELB application and network load balancers should only use SSL or HTTPS listeners,AWS Well-Architected Framework
Security,ELB application load balancers should be drop HTTP headers,AWS Well-Architected Framework
Security,ELB application load balancers should redirect HTTP requests to HTTPS,AWS Well-Architected Framework
Security,Elasticsearch domain node-to-node encryption should be enabled,AWS Well-Architected Framework
Security,API Gateway stage should uses SSL certificate,AWS Well-Architected Framework
